---------------------
  #    meV     cm^-1
---------------------
  0    0.0i      0.2i
  1    0.1       0.4
  2    0.1       0.6
  3   67.7     546.2
  4   81.5     657.1
  5   86.4     696.7
  6  118.6     956.8
  7  125.9    1015.7
  8  187.3    1511.0
  9  216.6    1747.2
 10  229.2    1848.4
 11  261.4    2108.3
---------------------
Zero-point energy: 0.687 eV
